18-Mar-2008 00:48:19	18-Mar-2008 00:48:23	6	
18-Mar-2008 00:49:03	18-Mar-2008 00:49:08	6	
18-Mar-2008 00:49:04	18-Mar-2008 00:49:05	14	
18-Mar-2008 00:49:10	18-Mar-2008 00:49:11	14	
18-Mar-2008 00:49:10	18-Mar-2008 00:50:31	5	
18-Mar-2008 00:52:34	18-Mar-2008 00:52:54	24	
18-Mar-2008 00:52:57	18-Mar-2008 00:52:58	24	
18-Mar-2008 06:22:43	18-Mar-2008 06:22:44	24	
18-Mar-2008 06:22:48	18-Mar-2008 06:24:03	24	
18-Mar-2008 06:23:18	18-Mar-2008 06:23:22	6	
18-Mar-2008 06:23:49	18-Mar-2008 06:23:50	14	
18-Mar-2008 06:23:55	18-Mar-2008 06:23:56	6	
18-Mar-2008 07:48:23	18-Mar-2008 07:48:24	24	
18-Mar-2008 07:48:28	19-Mar-2008 00:43:43	24	
18-Mar-2008 08:15:13	18-Mar-2008 08:15:17	6	
18-Mar-2008 08:16:24	18-Mar-2008 08:16:25	14	
18-Mar-2008 08:18:50	18-Mar-2008 08:18:51	14	
18-Mar-2008 08:18:54	18-Mar-2008 18:01:06	6	
18-Mar-2008 08:18:55	18-Mar-2008 08:18:56	14	
18-Mar-2008 08:19:14	18-Mar-2008 08:19:15	14	
18-Mar-2008 08:19:16	18-Mar-2008 08:19:17	5	
18-Mar-2008 08:20:35	18-Mar-2008 08:20:40	9	
18-Mar-2008 08:20:42	18-Mar-2008 08:20:55	17	
18-Mar-2008 08:21:31	18-Mar-2008 08:21:35	17	
18-Mar-2008 08:21:37	18-Mar-2008 08:21:39	1	
18-Mar-2008 08:22:45	18-Mar-2008 08:22:48	1	
18-Mar-2008 08:22:49	18-Mar-2008 08:22:54	8	
18-Mar-2008 08:23:27	18-Mar-2008 08:23:29	8	
18-Mar-2008 08:39:43	18-Mar-2008 08:39:47	5	
18-Mar-2008 08:52:21	18-Mar-2008 08:52:22	5	
18-Mar-2008 08:52:25	18-Mar-2008 18:01:04	5	
18-Mar-2008 09:15:17	18-Mar-2008 09:15:20	12	
18-Mar-2008 18:00:11	18-Mar-2008 18:00:15	12	
18-Mar-2008 18:07:18	18-Mar-2008 18:07:19	14	
18-Mar-2008 18:07:21	18-Mar-2008 18:07:22	14	
18-Mar-2008 18:08:09	18-Mar-2008 18:08:11	6	
18-Mar-2008 18:21:40	18-Mar-2008 18:21:44	6	
18-Mar-2008 18:22:59	18-Mar-2008 18:23:00	14	
18-Mar-2008 18:23:35	18-Mar-2008 18:23:39	6	
18-Mar-2008 18:25:11	18-Mar-2008 18:25:16	12	
18-Mar-2008 23:39:18	18-Mar-2008 23:39:19	12	
18-Mar-2008 23:39:24	18-Mar-2008 23:39:30	12	
12-Mar-2008 03:04:52	12-Mar-2008 03:04:53	24	
12-Mar-2008 03:04:57	12-Mar-2008 03:05:47	24	
12-Mar-2008 03:05:36	12-Mar-2008 03:05:37	14	
12-Mar-2008 08:41:26	13-Mar-2008 01:24:12	24	
12-Mar-2008 08:42:49	12-Mar-2008 08:42:50	14	
12-Mar-2008 09:48:45	12-Mar-2008 09:48:46	8	
12-Mar-2008 09:48:50	12-Mar-2008 09:48:57	8	
12-Mar-2008 09:49:00	12-Mar-2008 09:49:09	17	
12-Mar-2008 09:49:44	12-Mar-2008 09:49:46	9	
12-Mar-2008 09:50:01	12-Mar-2008 09:50:04	17	
12-Mar-2008 09:51:25	12-Mar-2008 09:51:29	8	
12-Mar-2008 09:52:09	12-Mar-2008 09:52:11	8	
12-Mar-2008 09:59:31	12-Mar-2008 09:59:35	7	
12-Mar-2008 09:59:34	12-Mar-2008 09:59:48	8	
12-Mar-2008 11:04:11	12-Mar-2008 11:04:12	14	
12-Mar-2008 11:04:15	12-Mar-2008 12:41:21	5	
12-Mar-2008 11:04:15	12-Mar-2008 11:04:16	14	
12-Mar-2008 11:10:10	12-Mar-2008 11:10:14	12	
12-Mar-2008 12:21:19	12-Mar-2008 12:21:23	12	
12-Mar-2008 12:41:24	12-Mar-2008 12:41:25	5	
12-Mar-2008 12:46:23	13-Mar-2008 01:18:38	5	
12-Mar-2008 12:54:29	12-Mar-2008 12:54:34	12	
12-Mar-2008 12:55:35	12-Mar-2008 12:55:39	12	
