what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370975053085
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370975053396
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1370975063193
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370975129475
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370975129516
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1370975133697
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370975169716
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370975169768
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1370975171289
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1370975178601
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1370975188513
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370975198183
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370975198235
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370975266132
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370975266368
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1370975267665
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.1.R34x_v20081029,org.eclipse.equinox.p2.ui.sdk.update,1370975306696
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370975306719
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370975307580
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1370975308698
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1370975308703
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1370975308709
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370975308781
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1370975308937
stopped,bundle,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui,1370975308937
